                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.98367,                0.77205,                 1.2149,                0.76247,                0.70194,                 0.7584,                0.52615,                 1.2617,                 1.3899,                 1.5774,               0.000948,               0.000948,               0.000948
                     36,                0.98364,                0.78473,                 1.2117,                0.73583,                0.65853,                0.73009,                0.53726,                 1.2866,                 1.4297,                 1.6137,             0.00093385,             0.00093385,             0.00093385
                     37,                0.98633,                  0.769,                  1.208,                0.73293,                0.72911,                0.71503,                0.51215,                 1.1723,                 1.4501,                 1.5087,              0.0009197,              0.0009197,              0.0009197
                     38,                0.97613,                0.75909,                  1.213,                0.72384,                0.74483,                 0.7186,                0.51826,                 1.1939,                 1.4788,                 1.5124,             0.00090556,             0.00090556,             0.00090556
                     39,                0.97041,                0.74135,                 1.1962,                0.74488,                0.71106,                0.70017,                0.51803,                 1.1882,                 1.4971,                 1.5342,             0.00089141,             0.00089141,             0.00089141
                     40,                0.95624,                0.74258,                 1.1735,                0.77579,                0.70697,                0.74404,                 0.5394,                 1.1773,                 1.5147,                 1.5117,             0.00087726,             0.00087726,             0.00087726
                     41,                0.94306,                0.72876,                 1.1814,                0.71658,                 0.7326,                0.69235,                0.50154,                 1.1969,                 1.5429,                 1.5171,             0.00086312,             0.00086312,             0.00086312
                     42,                0.94794,                0.74496,                 1.2126,                0.74114,                0.73941,                0.71894,                 0.5123,                 1.2029,                 1.4276,                 1.5082,             0.00084897,             0.00084897,             0.00084897
                     43,                0.96478,                0.71707,                 1.1971,                0.74046,                0.74588,                0.77634,                0.56817,                 1.1877,                 1.3747,                  1.514,             0.00083482,             0.00083482,             0.00083482
                     44,                0.95327,                0.70994,                 1.1948,                0.73177,                0.73709,                0.75876,                0.54719,                   1.17,                 1.4734,                 1.4992,             0.00082067,             0.00082067,             0.00082067
